frame_index,time_min,bacteria_count,total_bacteria_area_px,mean_bacteria_area_px,tracks_active,mean_speed_um_per_min
240,240.0,8,1906,238.25,8,0.6642336177520871
241,241.0,9,1939,215.44444444444446,9,2.380209761367671
242,242.0,9,1831,203.44444444444446,9,3.2151903815905443
243,243.0,9,1832,203.55555555555554,9,0.041833910736805854
244,244.0,9,1873,208.11111111111111,9,3.267334784734195
245,245.0,11,1811,164.63636363636363,11,1.732036869638308
246,246.0,8,1847,230.875,8,2.4284407091739197
247,247.0,8,1956,244.5,8,2.258965214147193
248,248.0,7,1940,277.14285714285717,7,4.219348182966035
249,249.0,7,1941,277.2857142857143,7,0.015587528371094828
250,250.0,8,1843,230.375,8,1.6348193836527312
251,251.0,6,1820,303.3333333333333,6,1.151373787014724
252,252.0,8,1769,221.125,8,1.6288627631684829
253,253.0,6,1789,298.1666666666667,6,3.653572736472649
254,254.0,5,1799,359.8,5,1.4431473983190004
255,255.0,5,1800,360.0,5,0.019615909131059307
256,256.0,5,1700,340.0,5,0.9033689938807793
257,257.0,5,1780,356.0,5,1.141203962113911
258,258.0,5,1841,368.2,5,1.5564010807089308
259,259.0,6,1829,304.8333333333333,6,2.285636832448644
260,260.0,6,1822,303.6666666666667,6,2.387032093180293
261,261.0,6,1822,303.6666666666667,6,0.024291401192653606
262,262.0,6,1772,295.3333333333333,6,2.3966082284955825
263,263.0,6,1722,287.0,6,1.7331744473050046
264,264.0,6,1643,273.8333333333333,6,1.4304190043101415
265,265.0,6,1664,277.3333333333333,6,1.4983318052162957
266,266.0,6,1674,279.0,6,1.6590076719541527
267,267.0,6,1676,279.3333333333333,6,0.016494426416939007
268,268.0,6,1689,281.5,6,2.00800141787477
269,269.0,6,1634,272.3333333333333,6,2.244844281233408
270,270.0,6,1626,271.0,6,1.5960936798199448
271,271.0,7,1651,235.85714285714286,7,1.4084580105471163
272,272.0,6,1711,285.1666666666667,6,2.3241214567056385
273,273.0,6,1710,285.0,6,0.007591102026510155
274,274.0,7,1756,250.85714285714286,7,2.8398690346580513
275,275.0,8,1710,213.75,8,5.591582685162656
276,276.0,8,1754,219.25,8,5.3210620127634005
277,277.0,8,1843,230.375,8,5.071887141505888
278,278.0,8,1855,231.875,8,3.604102468481571
279,279.0,8,1854,231.75,8,0.02633971710537122
280,280.0,8,1829,228.625,8,4.354992521188718
281,281.0,8,1865,233.125,8,3.5737616943052983
282,282.0,8,1801,225.125,8,3.958542416978365
283,283.0,8,1803,225.375,8,4.530804723115661
284,284.0,9,1810,201.11111111111111,9,3.8835718534090704
285,285.0,9,1811,201.22222222222223,9,0.025199952609905082
286,286.0,8,1897,237.125,8,3.844393382282772
287,287.0,8,1877,234.625,8,2.6343710854229885
288,288.0,8,1927,240.875,8,2.91709761382635
289,289.0,7,1953,279.0,7,2.0016284088555882
290,290.0,7,1871,267.2857142857143,7,1.4246286504676127
291,291.0,7,1869,267.0,7,0.019723743299980036
292,292.0,8,1810,226.25,8,1.9995014120103567
293,293.0,8,1802,225.25,8,2.720387747980187
294,294.0,8,1792,224.0,8,1.9920737856135902
295,295.0,8,1819,227.375,8,2.0518499807270194
296,296.0,8,1859,232.375,8,1.598471607302379
297,297.0,8,1861,232.625,8,0.016716547299046914
298,298.0,8,1820,227.5,8,1.9961061019194817
299,299.0,8,1824,228.0,8,1.5788070454555185
300,300.0,8,1872,234.0,8,2.119333322207548
301,301.0,9,1787,198.55555555555554,9,2.3078700270860164
302,302.0,9,1784,198.22222222222223,9,5.006570632168985
303,303.0,9,1783,198.11111111111111,9,0.003998154185231483
304,304.0,8,1831,228.875,8,5.448845940377818
305,305.0,9,1803,200.33333333333334,9,5.635531179287274
306,306.0,8,1829,228.625,8,3.957847443643381
307,307.0,9,1762,195.77777777777777,9,4.174138521798037
308,308.0,9,1680,186.66666666666666,9,4.480733731652986
309,309.0,9,1676,186.22222222222223,9,0.024644844262025758
310,310.0,8,1624,203.0,8,4.261906018439461
311,311.0,8,1585,198.125,8,3.592728078369725
312,312.0,8,1514,189.25,8,4.20039431813659
313,313.0,9,1570,174.44444444444446,9,3.6510327261913416
314,314.0,9,1570,174.44444444444446,9,3.2218817668014204
315,315.0,9,1577,175.22222222222223,9,0.06248553795457093
316,316.0,9,1637,181.88888888888889,9,3.1072158717938523
317,317.0,8,1591,198.875,8,3.2088976369203897
318,318.0,7,1587,226.71428571428572,7,2.7417485631091054
319,319.0,7,1564,223.42857142857142,7,2.9949532159753156
320,320.0,7,1573,224.71428571428572,7,2.9886791195960396
321,321.0,7,1590,227.14285714285714,7,0.1034668614731883
322,322.0,7,1582,226.0,7,3.540188493910521
323,323.0,7,1560,222.85714285714286,7,3.3667310038046656
324,324.0,7,1594,227.71428571428572,7,3.011589947541318
325,325.0,7,1617,231.0,7,2.9339344898337134
326,326.0,7,1585,226.42857142857142,7,2.9456419424455476
327,327.0,7,1583,226.14285714285714,7,0.01038926363196044
328,328.0,7,1658,236.85714285714286,7,3.2840489220903777
329,329.0,6,1803,300.5,6,2.8495315453328796
330,330.0,8,1681,210.125,8,3.0157575092846614
331,331.0,8,1675,209.375,8,5.181901633214869
332,332.0,8,1617,202.125,8,3.4954298167598723
333,333.0,8,1616,202.0,8,0.010495025945878715
334,334.0,8,1614,201.75,8,2.447526098945222
335,335.0,8,1617,202.125,8,1.9862599315281395
336,336.0,8,1646,205.75,8,2.0694756587877445
337,337.0,8,1698,212.25,8,2.4059423910813176
338,338.0,9,1643,182.55555555555554,9,3.617855480452101
339,339.0,9,1644,182.66666666666666,9,0.003982659904532237
340,340.0,9,1671,185.66666666666666,9,2.0833356770514864
341,341.0,9,1651,183.44444444444446,9,2.259443455524957
342,342.0,9,1657,184.11111111111111,9,2.0756524110184618
343,343.0,9,1708,189.77777777777777,9,1.5918866519473873
344,344.0,9,1684,187.11111111111111,9,1.5928471519543375
345,345.0,9,1684,187.11111111111111,9,0.0
346,346.0,9,1690,187.77777777777777,9,2.467188994446049
