frame,time_min,object_count,mean_area_px,total_area_px,object_density_per_px2,mean_area_um2,total_area_um2,object_count_growth_per_min,total_area_growth_um2_per_min
133,133.0,9,201.88888888888889,1817,9.765625e-06,201.88888888888889,1817.0,0.0,55.0
134,134.0,9,201.88888888888889,1817,9.765625e-06,201.88888888888889,1817.0,0.0,0.0
135,135.0,8,217.125,1737,8.680555555555556e-06,217.125,1737.0,-1.0,-80.0
136,136.0,8,235.25,1882,8.680555555555556e-06,235.25,1882.0,0.0,145.0
137,137.0,8,241.75,1934,8.680555555555556e-06,241.75,1934.0,0.0,52.0
138,138.0,9,198.11111111111111,1783,9.765625e-06,198.11111111111111,1783.0,1.0,-151.0
139,139.0,9,189.88888888888889,1709,9.765625e-06,189.88888888888889,1709.0,0.0,-74.0
140,140.0,10,171.4,1714,1.0850694444444445e-05,171.4,1714.0,1.0,5.0
141,141.0,9,184.55555555555554,1661,9.765625e-06,184.55555555555554,1661.0,-1.0,-53.0
142,142.0,10,169.0,1690,1.0850694444444445e-05,169.0,1690.0,1.0,29.0
143,143.0,10,173.7,1737,1.0850694444444445e-05,173.7,1737.0,0.0,47.0
144,144.0,9,196.55555555555554,1769,9.765625e-06,196.55555555555554,1769.0,-1.0,32.0
145,145.0,10,176.1,1761,1.0850694444444445e-05,176.1,1761.0,1.0,-8.0
146,146.0,10,175.8,1758,1.0850694444444445e-05,175.8,1758.0,0.0,-3.0
147,147.0,9,192.88888888888889,1736,9.765625e-06,192.88888888888889,1736.0,-1.0,-22.0
148,148.0,9,190.88888888888889,1718,9.765625e-06,190.88888888888889,1718.0,0.0,-18.0
149,149.0,8,213.5,1708,8.680555555555556e-06,213.5,1708.0,-1.0,-10.0
150,150.0,8,217.0,1736,8.680555555555556e-06,217.0,1736.0,0.0,28.0
151,151.0,9,194.44444444444446,1750,9.765625e-06,194.44444444444446,1750.0,1.0,14.0
152,152.0,9,194.66666666666666,1752,9.765625e-06,194.66666666666666,1752.0,0.0,2.0
153,153.0,7,237.57142857142858,1663,7.595486111111111e-06,237.57142857142858,1663.0,-2.0,-89.0
154,154.0,7,240.28571428571428,1682,7.595486111111111e-06,240.28571428571428,1682.0,0.0,19.0
155,155.0,10,174.6,1746,1.0850694444444445e-05,174.6,1746.0,3.0,64.0
156,156.0,10,171.5,1715,1.0850694444444445e-05,171.5,1715.0,0.0,-31.0
157,157.0,9,199.77777777777777,1798,9.765625e-06,199.77777777777777,1798.0,-1.0,83.0
158,158.0,9,199.66666666666666,1797,9.765625e-06,199.66666666666666,1797.0,0.0,-1.0
159,159.0,8,218.125,1745,8.680555555555556e-06,218.125,1745.0,-1.0,-52.0
160,160.0,9,191.77777777777777,1726,9.765625e-06,191.77777777777777,1726.0,1.0,-19.0
161,161.0,9,194.55555555555554,1751,9.765625e-06,194.55555555555554,1751.0,0.0,25.0
162,162.0,9,202.55555555555554,1823,9.765625e-06,202.55555555555554,1823.0,0.0,72.0
163,163.0,9,183.11111111111111,1648,9.765625e-06,183.11111111111111,1648.0,0.0,-175.0
164,164.0,9,183.22222222222223,1649,9.765625e-06,183.22222222222223,1649.0,0.0,1.0
165,165.0,10,162.1,1621,1.0850694444444445e-05,162.1,1621.0,1.0,-28.0
166,166.0,9,184.77777777777777,1663,9.765625e-06,184.77777777777777,1663.0,-1.0,42.0
167,167.0,8,201.875,1615,8.680555555555556e-06,201.875,1615.0,-1.0,-48.0
168,168.0,9,182.22222222222223,1640,9.765625e-06,182.22222222222223,1640.0,1.0,25.0
169,169.0,8,204.75,1638,8.680555555555556e-06,204.75,1638.0,-1.0,-2.0
170,170.0,8,204.625,1637,8.680555555555556e-06,204.625,1637.0,0.0,-1.0
171,171.0,8,199.75,1598,8.680555555555556e-06,199.75,1598.0,0.0,-39.0
172,172.0,8,202.5,1620,8.680555555555556e-06,202.5,1620.0,0.0,22.0
173,173.0,8,191.875,1535,8.680555555555556e-06,191.875,1535.0,0.0,-85.0
174,174.0,8,200.125,1601,8.680555555555556e-06,200.125,1601.0,0.0,66.0
175,175.0,8,196.75,1574,8.680555555555556e-06,196.75,1574.0,0.0,-27.0
176,176.0,8,196.5,1572,8.680555555555556e-06,196.5,1572.0,0.0,-2.0
177,177.0,8,200.25,1602,8.680555555555556e-06,200.25,1602.0,0.0,30.0
178,178.0,8,204.125,1633,8.680555555555556e-06,204.125,1633.0,0.0,31.0
179,179.0,8,201.25,1610,8.680555555555556e-06,201.25,1610.0,0.0,-23.0
180,180.0,8,204.0,1632,8.680555555555556e-06,204.0,1632.0,0.0,22.0
181,181.0,8,200.875,1607,8.680555555555556e-06,200.875,1607.0,0.0,-25.0
182,182.0,8,200.875,1607,8.680555555555556e-06,200.875,1607.0,0.0,0.0
183,183.0,7,232.42857142857142,1627,7.595486111111111e-06,232.42857142857142,1627.0,-1.0,20.0
184,184.0,7,228.57142857142858,1600,7.595486111111111e-06,228.57142857142858,1600.0,0.0,-27.0
185,185.0,7,228.85714285714286,1602,7.595486111111111e-06,228.85714285714286,1602.0,0.0,2.0
186,186.0,8,207.375,1659,8.680555555555556e-06,207.375,1659.0,1.0,57.0
187,187.0,7,248.0,1736,7.595486111111111e-06,248.0,1736.0,-1.0,77.0
188,188.0,7,248.0,1736,7.595486111111111e-06,248.0,1736.0,0.0,0.0
189,189.0,7,256.0,1792,7.595486111111111e-06,256.0,1792.0,0.0,56.0
190,190.0,8,230.125,1841,8.680555555555556e-06,230.125,1841.0,1.0,49.0
191,191.0,7,266.14285714285717,1863,7.595486111111111e-06,266.14285714285717,1863.0,-1.0,22.0
192,192.0,7,288.7142857142857,2021,7.595486111111111e-06,288.7142857142857,2021.0,0.0,158.0
193,193.0,7,304.2857142857143,2130,7.595486111111111e-06,304.2857142857143,2130.0,0.0,109.0
194,194.0,7,304.85714285714283,2134,7.595486111111111e-06,304.85714285714283,2134.0,0.0,4.0
195,195.0,8,249.875,1999,8.680555555555556e-06,249.875,1999.0,1.0,-135.0
196,196.0,7,285.7142857142857,2000,7.595486111111111e-06,285.7142857142857,2000.0,-1.0,1.0
197,197.0,6,343.3333333333333,2060,6.510416666666667e-06,343.3333333333333,2060.0,-1.0,60.0
198,198.0,7,299.85714285714283,2099,7.595486111111111e-06,299.85714285714283,2099.0,1.0,39.0
199,199.0,7,278.85714285714283,1952,7.595486111111111e-06,278.85714285714283,1952.0,0.0,-147.0
200,200.0,7,279.14285714285717,1954,7.595486111111111e-06,279.14285714285717,1954.0,0.0,2.0
201,201.0,8,245.25,1962,8.680555555555556e-06,245.25,1962.0,1.0,8.0
202,202.0,9,215.55555555555554,1940,9.765625e-06,215.55555555555554,1940.0,1.0,-22.0
203,203.0,8,239.0,1912,8.680555555555556e-06,239.0,1912.0,-1.0,-28.0
204,204.0,8,243.5,1948,8.680555555555556e-06,243.5,1948.0,0.0,36.0
205,205.0,8,243.5,1948,8.680555555555556e-06,243.5,1948.0,0.0,0.0
206,206.0,8,239.875,1919,8.680555555555556e-06,239.875,1919.0,0.0,-29.0
207,207.0,8,239.75,1918,8.680555555555556e-06,239.75,1918.0,0.0,-1.0
208,208.0,9,209.0,1881,9.765625e-06,209.0,1881.0,1.0,-37.0
209,209.0,8,233.75,1870,8.680555555555556e-06,233.75,1870.0,-1.0,-11.0
210,210.0,9,207.55555555555554,1868,9.765625e-06,207.55555555555554,1868.0,1.0,-2.0
211,211.0,10,179.9,1799,1.0850694444444445e-05,179.9,1799.0,1.0,-69.0
212,212.0,10,176.6,1766,1.0850694444444445e-05,176.6,1766.0,0.0,-33.0
213,213.0,10,176.8,1768,1.0850694444444445e-05,176.8,1768.0,0.0,2.0
214,214.0,10,183.7,1837,1.0850694444444445e-05,183.7,1837.0,0.0,69.0
215,215.0,10,184.0,1840,1.0850694444444445e-05,184.0,1840.0,0.0,3.0
216,216.0,10,182.9,1829,1.0850694444444445e-05,182.9,1829.0,0.0,-11.0
217,217.0,10,181.8,1818,1.0850694444444445e-05,181.8,1818.0,0.0,-11.0
218,218.0,10,186.6,1866,1.0850694444444445e-05,186.6,1866.0,0.0,48.0
219,219.0,10,186.7,1867,1.0850694444444445e-05,186.7,1867.0,0.0,1.0
220,220.0,8,229.75,1838,8.680555555555556e-06,229.75,1838.0,-2.0,-29.0
221,221.0,9,217.77777777777777,1960,9.765625e-06,217.77777777777777,1960.0,1.0,122.0
222,222.0,10,202.6,2026,1.0850694444444445e-05,202.6,2026.0,1.0,66.0
223,223.0,8,249.375,1995,8.680555555555556e-06,249.375,1995.0,-2.0,-31.0
224,224.0,9,224.88888888888889,2024,9.765625e-06,224.88888888888889,2024.0,1.0,29.0
225,225.0,9,225.0,2025,9.765625e-06,225.0,2025.0,0.0,1.0
226,226.0,9,219.44444444444446,1975,9.765625e-06,219.44444444444446,1975.0,0.0,-50.0
227,227.0,8,250.5,2004,8.680555555555556e-06,250.5,2004.0,-1.0,29.0
228,228.0,9,228.22222222222223,2054,9.765625e-06,228.22222222222223,2054.0,1.0,50.0
229,229.0,9,223.0,2007,9.765625e-06,223.0,2007.0,0.0,-47.0
230,230.0,9,206.44444444444446,1858,9.765625e-06,206.44444444444446,1858.0,0.0,-149.0
231,231.0,9,206.11111111111111,1855,9.765625e-06,206.11111111111111,1855.0,0.0,-3.0
